aba	kapa
canivete	kaniveti
cano	tubu
canoa	kanua
cansaço	kansera
cansado	kansadu
cansar	kansa
cansativo	pisadu
cantar	kanta
cântaro	kalma
cântico	kantiku
canto	kantu
canto	kantu
cantor	kantadur
canudo	tubu
cão	katchur
caolho	ñeleli
capacete	kapasiti
capacidade	kapasidadi
capaz	kapas
capim	padja
capinar	kopoti
capturado	prindidu
capturar	prindi
cara	kara
caracol	olonko
caranguejo	karangis
careca	kabesa-seku
carga	karga
carícia	kariñu
carne	karni
carneiro	karnel
caro	karu
caroço	karus
carrapato	karpatu
carregar	karga
carregar	bambu
carregar	karga
carregar	pembi
carregar	karganta
carro	karu
carroça	sareti
carta	karta
cartomante	djambakus
cartucho	kartus
carvão	karbon
carvoaria	furnu di karbon
casa	kasa
casado	kazadu
casamento	kazamentu
casar	kaza
casca	kaska
casca	kabaku di arvuri
cascalho	kaskadju
casco	kaska di tataruga
caso	kazu
caso	na kazu ke
castanha	kastaña
castanheira carité	po di karite
castigar	kastiga
castigo	kastigu
castração	kapa
castrar	kapa
casulo	kaska di burbuleta
catar	kata
catar	kudji
catarro	katar
cativar	nteresa
cativeiro	katiberasku
cativo	katibu
catorze	katorzi
cauda	rabu
caule	tronku
causar	fasi
cavadeira	kobadur
cavaleiro	kabaleru
cavalgar	monta na kabalu
cavalheiro	kavaleru
cavalo	kabalu
cavar	koba
cavilha	po di saporta
cebola	sabola
ceder	da
cedo	sedu
cegar	sega
cego	moku
cegonha	djumi
celeiro	bemba
cem	sen
cemitério	simiteriu
cenoura	sinora
cento e um	sentu i un
cento e vinte	sentu i vinti
cento e vite e um	sentu i vinti i un
centopeia	sen pe
centro	sentru
centro-oeste	sentru oesti
cera	sera
cerâmica	ajuleju
cerca	serka di
cerca	serku
cercado	serkadu
cercar	serka
cereal	garan
cérebro	totona
cerimônia fúnebre	nteru
cerrar	fitcha mon
certeza	sertesa
certo	sertu
cerume	susudadi di oredja
cerveja	serbedja
cessar	kaba
cesta	kufu
céu	seu
chá	xa
chacal	djurtu
chacina	matansa
chaleira	salera
chama	xama
chamada	tchomada
chamar	tchama
chaminé	fumidera
chamuscado	ulilidu
chamuscar	uli
chão	tchon
chapéu	tchepen
chato	lisu
chato	xatu
chave de fenda	tchabi di fenda
chefe	regulu
chefia	xefia
chefiar	xefia
chegada	tchigada
chegar	tchiga
cheia	lagansa
cheio	intchidu
cheirar	tchera
cheiro	tcheru
chicote	tchikoti
chicotear	suta
chifre	tchifri
chifrudo	manga di tchifri
chifrudo	tama kanela
chimpanzé	dari
chinelo	sinelu
chocalhar	balansa
chocalho	rek-rek
choque	xoki
chorar	tchora
choro	tchur
chorume	yagu pretu di lixu
chover	tchuba tchubi
chumbo	tchumbu
chupar	tchupa
churrasqueira	kau di yasa karni
chuva	tchuba
cidade	prasa
cigarro	sigaru
cilada	mboskada
cílio	kabelu di udju
cimento	simentu
cinco	sinku
cinquenta	sinkuenta
cinta	sintu di bariga
cintilar	lampra
cinto	sintu
cintura	sintura
cinza	sinsa
cinza	sinzentu
cinzel	sinzel
círculo	roda
circuncidar	bota fanadu
circuncisão	fanadu
ciscar	garbata
ciúme	siumi
ciumento	kumboseru
clã	djorson
clamar	tchoma
clamor	pididu
claridade	klaresa
claro	klaru
clava	manduku di fidida
clitóris	tchiron
clube	klubu
coabitar	mora na ermondadi
coador	kuadera
coagular	seka
cobertura	tidjadu
cobra	kobra
cobrança	kobransa
cobrar	kobra
cobre	kobri
cobrir	kubri
cocar	tchepen di penas
coçar	kosa
cócegas	tchikini
coceira	kosera
cocho	djemberen di kabalu
coco	kukuneti
coelho	kuidju
cogumelo	guarda-tchuba di sapu
coisa	kusa
cola	kola
colar	kola
colar	konta
colar	kola
colcha	koltcha
colchão	koltchon
colega	mandjua
coletar	kebra
coletar	kudji fruta
colheita	kebur
colheita	tempu di kebur
colher	kudji
colher	kudjer
coleta	kebra
colidir	madja
colina	kau altu
colmeia	kumbu di bagera
colmo	fiu di padja
colocação	puzison
colocar	finkanda
colocar de lado	nkosta
colocar em	pui na
colorido	tindjidu
coluna	kuluna
com	ku
com velocidade e ruído	tchurak
comandar	komanda
comando	kumandu
combinação	kumbinason
combate	luta
combinar	kumbina
começar	kumsa
começo	kumsada
comer	kume
comerciante	bindidur
comerciar	nogosia
comércio	kumersiu
cometer um erro	yara
comida	kumida
comigo	ku mi
como	suma
como	kuma
companheiro	kumpañer
companheirismo	kumpañerasku
comparação	komparason
comparar	kompara
completar	kompleta
completo	kompletu
compor	kumpu
composto	kumpudu
compra	kumpra
comprar	kumpra
compras	kompra
compreender	ntindi
compreensão	ntindimentu
comprido	kumpridu
comprimento	kumprimentu
comprometer	kumprimiti
compromisso	kompromis
computador	komputador
conceber	preña
concha	kombe
concluído	kabadu
concordar	konkorda
condenação	kondenason
condenar	kondena
condolências	manteña di tchur
conduzir	konduzi
conforme	konformu
confuso	kunfundidu
congelado	djeladu
congelar	djela
conhecer	kunsi
conhecido	kunsidu
conhecimento	kunsimentu
conjunto	konjuntu
conosco	ku nos
conquistar	konkista
consciência	konsiensia
conseguir	konsigi
conselho real	konsidju rial
consertar	kumpu
consigo	ku el
construir	kumpu
consumir	konsumi
consumo	konsumu
conta	konta
conta	konta
contaminação	kontaminason
contaminado	kontaminadu
contaminar	kontamina
contar	konta
conter	kibi
conter	tudji
contido	mansu
contigo	ku bo
continuar	kontinua
contínuo	permanenti
conto	storia
contra	kontra
contradição	kontradison
contradizer	purfia
contrair	tursi kurpu
contratar	kontrata
contrato	kontratu
contundir	molostra
contusão	dismintidura
conveniente	ben
conversa	kombersa
conversar	kombersa
convidado	kumbidadu
convidar	kumbida
convite	kumbiti
convosco	ku bos
copiar	kopia
copo	kopu
copular	moka
cópula	markadesa
copular	moka
coqueiro	kukeru
cor	kor
coração	korson
coragem	korajen
corajoso	koradjus
corcunda	kurkunda
corda	korda
cordão umbilical	biku
cordeiro	karnel
coroa	koroa
coroar	pui koroa
corpo	kurpu
corredor	kuridur
córrego	riusiñu
correia	koreia
suspensório	ispensol
correio	koreiu
corrente	korenti
correr	kuri
correto	kuretu
corrida	kurida
corrupto	kuruptu
cortado	kortadu
cortar	korta
cortar	laña
corte	korti
coruja	kikia
corvo	korbu
costa	roda di mar
costas	kosta
costela	os di pontada
costura	kustura
costurar	kusi
cotovelada	kutubelada
cotovelo	kutubel
couro	kuru
couve	kubi
cova	koba
covarde	kobardu
coveiro	supultadur
coxa	perna
coxear	mankusa
coxo	manku
cozido	kusidu
cozinha	kusiña
cozinhar	kusiña
cozinheiro	kusiñeru
crânio	kaku
crescer	kirsi
crescimento	kirsimentu
criança	mininu
criar	kria
crime	krimi
criminoso	kriminus
crise	krizi
crista	krista
crocodilo	djakare
crosta	krosta
cru	kru
crucifixo	santa-krus
cruz	krus
cruzar	kruza
cruzar	kamba
cu	koba di bunda
cueca	trus
cueiros	fralda
cuidado	kuidadi
cuidar	kuida
cuidar	kria baka
cuidar	yama
culpa	kulpa
culpado	kulpadu
culpar	kulpa
cultivar	labra
cultivo	labur
cume	ponta
cumprimentar	fala manteña
cumprimento	manteña
cunhada	kuñada
cunhado	kuñadu
cupim	bagabaga
cura	kura
curado	kuradu
curandeiro	djambakus
curar	kura
curativo	kuratibu
curral	koral
curso	kursu
curtidor	stikadur di kuru
curto	mutchu
curva	kurba
curvar	kurba
curvar	uñi
curvatura	kurvatura
cuspe	kuspiñu
cuspir	kuspi
custar	kusta
custo	kustu
cutelo	tarsadu
dança	badju
dançar	badja
dançar	ronka matchundadi
dançar	badja djambadon
dançarina	badjadur
dançarino	badjadur
dar	da
dar à luz	padi
dar a volta	bolta
dar licença	kolsensa
dar um passeio	pasia
data	data
de	di
debaixo	bas
debulhar	duguña
década	dekada
decidir	disidi
décimo	desimu
décimo nono	desimu nonu
décimo oitavo	desimu oitavu
décimo primeiro	desimu purmeru
décimo quarto	desimu kuartu
décimo quinto	desimu kintu
décimo segundo	desimu sugundu
décimo sétimo	desimu setimu
décimo sexto	desimu sestu
decisão	disizon
declive	riada
decorar	fadja
dedão	dedu garandi
dedo	dedu
defecar	pupu
defender	difindi
defesa	difeza
deficiente	manku
defumado	fumadu
defunto	difuntu
deitado	ditadu
deitar	ditanda
deitar	dita
deixar	disa
deixar	ritira
dela	di sel
delas	di selis
dele	di sel
deles	di selis
delicado	delikadu
demais	dimas
demitir	dimiti
demônio	dimoniu
dente	dinti
dentro	dentru
depenar	pena
depois	dispus
depois de amanhã	dipus di amaña
depositar	dipozita
depósito	dipozitu
depósito	bemba
depósito	tanki di lixu
depressão	fadiga
derramamento	deramamentu
derramar	darma
derramar	darma
derrame	pirdi sangi pa dentru
derreter	ribi
derrubar	durba
desagradável	ka bon
desalojar	muda
desamarrar	dismara
desânimo	dizanimu
desaparecer	disaparsi
desatado	dismaradu
desatar	dismara
descansar	diskansa
descansar a bochecha na mão	pembi kara
descanso	diskansu
descarregar	diskarga
descarregar	rianta
descascar	diskaska
descendente	djorson
descer	disi
descida	riada
descoberto	diskubridu
descobrir	diskubri
desconhecido	diskunsidu
desculpa	diskulpa
desde	des
desdobrar	disdobra
desejar	disdja
desejo	mistida
desembrulhar	disimbuldja
desenhar	dizeña
desenho	dizeñu
desenrolar	disrola
desenterrar	distera
desenterrar	koba
deserto	dizertu
desfazer	disfasi
desgastado	disgastadu
desgastar	disgasta
desgostar	disgosta
desistir	disisti
desligado	disligadu
desligar	disliga
deslizamento	laludura
deslizar	lalu
deslumbrar	mpasma
desmaiar	dismadja
desmentir	disminti
desmentir	disminti
desnudar	dispi
despedida	dispidida
despedir	dispidi
despertador	spertadur
despertar	disperta
despir	dispi
desposar	kaza
desprezar	dispreza
desprezo	disprezu
destelhar	diskubri kasa
destruição	distruison
destruir	distrui
desvanecer	lati
desviar	disvia
desvio	disviu
detalhar	splika tudu
detestar	kiri mal
deus	deus
Deus	Deus
dever	obrigason
dever	dibi
devido a	pabia di
devolver	divulvi
dez	des
dezembro	dizembru
dezena	dizena
dezenove	disanovi
dezesseis	disaseis
dezessete	disaseti
dezoito	disaoitu
dia	dia
diabo	diabu
diamante	diamanti
diarreia	diarea
dicionário	disionariu
diferenciar	diferensa
diferente	diferenti
difícil	difisil
dificuldade	difikuldadi
dificultar	tudji
dificultar	difikulta
dilacerar	pustema
diminuição	diminuson
diminuir	diminui
dinheiro	diñeru
direção	direson
direita	direta
direito	diritu
direito	diretu
direito	bon pekadur
direto	di kumpridu
diretor	diretor
dirigir	diriji
disco	disku
disco	roda di bis
discursar	diskursa
discurso	diskursu
disenteria	diareia
disputa	disputa
disputa	djunda-djunda
disputar	djunda-djunda
distância	distansia
distanciar	lundjusi
distante	distanti
distribuição	manera di raparti
distribuído	rapartidu
distribuir	dibidi
distrito	tabanka
ditado popular	ditu
divagação	pensa tchiu
diversão	diverson
divertido	divirtidu
divertir	dibirti
dívida	dibida
dividido	dibididu
dividir	dibidi
divino	sagradu
divorciado	kin ku kaba kasamenti
divorciar	kaba kasamenti
divórcio	kaba kasamenti
dizer	fala
dizer adeus	dispidi
doação	duason
doar	pati
dobra	dobra
dobrado	dobradu
dobrar	dobra
doce	dos
doença	duensa
doente	duenti
doer	de
doido	dudu
dois	dus
dois mil	dus mil
dolorido	i ta de
domesticar	mansa
doméstico	domestiku
dominar	domina
domingo	dumingu
donzela	badjuda
dor	dur
dormindo	na durmi
dormir	durmi
dote	doti
doze	dozi
duna	montaña di reia
dureza	duresa
durar	dura
duro	duru
dúvida	duvida
duvidar	duvida
duzentos	duzentus
dúzia	duzia
e	ku
ébano	madera pretu
eclipse	eklisi di lua
eclodir	tchentchi
educar	iduka
egoísta	intereseru
eira	terenu
eixo	veiu
ela	el
elas	elis
ele	el
elefante	lifanti
elefantíase	kantimbon
eles	elis
eletricidade	lus
elevação	subida
elevador	elevadur
elevar	sibinti
elevar	sibi
em	na
em cima	riba
em forma de globo	rodondu
em vão	afuan
emagrecer	bida magru
embaçado	fusku
embaixo	bas
embalagem	embalajen
embalar	mbala
embeber	modja
embora	mbora
emborcar	mborka
embriagar	tchami
embrulhar	mbuldja
embrulho	mbuludju
emenda	menda
emendar	ndjudja
empacotar	mbuldja
empatar	mpata
empate	mpati
empilhar	monta
empoeirado	pueradu
empoeirar	puera
empregada	kriada
empregado	kriadu
empregar	mprega
emprestar	pista
empréstimo	imprestimu
empreteado	kemadu
empretear	pretsi
empretecer	pretusi
empurrar	mpura
encantamento	inkantu
encantar	inkanta
encanto	inkantu
encher	intchi
encontrar	nkontra
encontrar	nkontra
encontro	nkontru
encostar	ngosta
encosto	kau di ngosta
encurtar	nkurta
encurvado	nkurbadu
encurvar	nkurba
endereço	indiresu
endireitar	ndirita
endurecer	durisi
enegrecer	pretsi
enfeitar	fadja
enfeite	fadjamentu
enfeitiçar	sagia
enfermaria	infermaria
enfermeira	nfermeru
enferrujado	ferusadu
enferrujar	ferusa
enfiar	fia
enfileirar	formanta
enforcar	nforka
enfraquecer	frakisi
enfurecer	sañanta
enfurecido	ku raiba
enganar	ngana
enganchar	ngata
engano	nganu
engatinhar	ngatiña
engenho	muiñu
engessar	pui jesu
engolir	nguli
engordar	ngorda
engordar	takanta
engordurar	unta
engraçado	ingrasadu
engravidar	preña
enguia	pis kobra
enjaular	prindi
enlouquecer	dudisi
enraivecer	raibanta
enriquecer	rikisi
enriquecimento	rikisimenti
enrolar	dobra
enrubescer	burmedja
enrugado	nornoridu
ensacar	pui na saku
ensinar	sina
ensino	nsinu
ensopado	modjadu
ensopar	solopa
então	enton
enterrado	nteradu
enterrar	ntera
enterro	nteru
entijolar	ruma tidjolu
entorse	dismintidura
entrada	yentrada
entranha	tripa
entrar	yentra
entre	entri
entregar	nterga
entrelaçar	tisi
entristecer	tristisi
enumerar	numera
envelhecer	bedjisi
envelopar	mbuldja
envelope	nvolopi
envenenar	benena
envergonhado	burguñus
envergonhar	burguñanta
enviar	manda
envolver	nvolvi
envolvido	nvolvidu
enxada	intchada
enxadão	intchada garandi
enxame	muntu di bageras
enxergar	odja
enxó	intchon
época	tempu
equilibrar	djustanda
equilíbrio	stabilidadi
errado	yaradu
errar	yara
erro	eru
erva	padja-modjadu
ervilha	ervilia
esbarrar	madja
esbelto	magru
esbranquiçado	brankisidu
escada	skada
escala	skala
escalar	sibi
escalas	midida
escambo	troka
escapar	kapili
escarificação	sarfa
escassear	falta
escassez	falta
escasso	insufisienti
escavação	koba
escavar	koba
escola	skola
escolha	skudju
escolher	kudji
esconder	sukundi
esconderijo	kau di sukundi
escondido	sukundidu
escorpião	lakaran
escorregadio	laludu
escorregão	laludura
escorregar	lalu
escorrer	skuri
escova	skoba
escovar	skoba
escravidão	katiberasku
escravo	skrabu
escrever	skribi
escrita	skrita
escudo	tadjadera
entalhar	dizeña na madera
escurecer	skurisi
escuridão	sukurensa
escuro	sukuru
escutar	sukuta
esfaquear	fakia
esfolar	fola
esforçar	pega tesu
esforço	sforsu
esfregão	fergon
esfregar	ferga
esfriar	frianta
esfumaçar	fumansa
esmagado	potcholidu
esmagar	potcholi
esmeril	pedra di mola
esmola	simola
espada	spada
espada curta	spada kurtu
espalhar	spadja
espancar	suta
espátula	kotineti
espelho	spidju
esperança	speransa
esperar	pera
esperma	kuadju
espesso	gros
espeto	feru
espião	spion
espiar	spia
espiar	paga kulpa
espiga	spiga
espingarda	spingarda
espinha	spiña
espinho	spiñu
espionar	djimpini
espírito	spiritu
espírito bom	alma bon
espírito maligno	alma mau
espirrar	spira
esplêndido	bonitu
esplendor	bonitasku
esposa	mindjer
esposa	dona kasa
esposa	kasa-dus
esposo	spozu
espreguiçar	spindi kurpu
espremer	pirmi
espremido	pirmidu
espuma	sukuma
espumante	sukumanti
espumar	sukuma
esquadro	skladra
esquecer	diskisi
esquecimento	diskisimentu
esqueleto	skeletu
esquentar	kenta
esquerda	skerda
esquerdo	skerdu
esquilo	saniñu
esse	es
estabelecer	stablisi
estabelecido	pudu
estabelecimento	kau
estaca	markason
estação chuvosa	tempu di tchuba
estação fria	tempu di friu
estação quente	tempu di kalur
estação seca	tempu di seku
estacar	marka
estação	tempu
estado	mumentu
estado	stadu
estalar	stala
estanho	stañu
estapear	bofotia
estar	sta
este	e
estender	distindi
esterco	strumu
estéril	sebadu
estéril	tchon seku
esticar	tesanta
estimado	stimadu
estimar	stima
estimular	nkoradja
estômago	stomagu
estourar	rebenta
estrabismo	n'ñeleli
estrada	kamiñu
estrado	kontaplakadu
estragado	stragadu
estragar	dana
estrago	danu
estrangeiro	strandjeru
estrangulamento	forkadura
estrangular	forka
estranho	strañu
estreito	pikininu
